batch_size,n,batch_ms,amortized_ms,aggregate_tps,sequence_tps,memory
1,8,3967.4787999997534,3967.4787999997534,16.177197978409072,16.177197978409072,1469.7587890625
2,8,3639.978987500399,1819.9894937501995,35.199697333578385,17.599848666789192,1497.33056640625
