index,shift_fraction,shift_step,strategy,joint_sla_rate_mean,joint_sla_rate_std,mean_latency_ms_mean,mean_latency_ms_std,mean_energy_j_mean,mean_energy_j_std,q8_action_rate_mean,q8_action_rate_std,reward_mean,reward_std
0,0.2,2000,adaptive_linucb,0.8946,0.0031895010059046,7496.676534443535,154.24687304897,37.356056548932415,0.8092089298450392,0.977075,0.0383693309240017,0.5355844892500976,0.0075598857618638
1,0.2,2000,greedy_sla_ewma,0.89585,0.0031246110869105,7577.99167028947,8.173892412723442,37.78121194875946,0.0429489603870488,1.0,0.0,0.5328059556281309,0.0034527365351279
2,0.2,2000,greedy_sla_stale,0.8961124999999999,0.0031032297243714,7576.589570923868,8.19619113856181,37.773836906096406,0.0430939992588057,1.0,0.0,0.5331261457322587,0.0034302886039386
3,0.2,2000,linucb_online,0.8961124999999999,0.0031032297243714,7576.589570923868,8.19619113856181,37.773836906096406,0.0430939992588057,1.0,0.0,0.5331261457322587,0.0034302886039386
4,0.2,2000,q_online,0.90575,0.0045080945716196,6566.393660815322,103.43625877818631,32.4988920949963,0.5420077840347702,0.6724249999999999,0.0236514916137556,0.594306520929759,0.008785190901776
5,0.5,5000,adaptive_linucb,0.89502,0.0064940656671216,7453.1537674025,234.84189819150689,37.12782096817675,1.2306424389977533,0.96464,0.0586661969678167,0.538204538996532,0.0107959941095572
6,0.5,5000,greedy_sla_ewma,0.8977,0.0046286547121646,7576.77607722751,8.280919763538034,37.77411578179773,0.043723357436035,1.0,0.0,0.5347715500742828,0.005040692054852
7,0.5,5000,greedy_sla_stale,0.8981199999999999,0.0046180322889973,7574.615261150682,8.389926277356963,37.762749889233625,0.0442954443963213,1.0,0.0,0.5352792531228794,0.0050321922381917
8,0.5,5000,linucb_online,0.8981199999999999,0.0046180322889973,7574.615261150682,8.389926277356963,37.762749889233625,0.0442954443963213,1.0,0.0,0.5352792531228794,0.0050321922381917
9,0.5,5000,q_online,0.9053,0.0049218334433871,6610.437794031624,100.05226159640782,32.72780231001009,0.524320619471032,0.68848,0.0299825430690741,0.5915194191114843,0.0086634689367022
10,0.8,8000,adaptive_linucb,0.8916000000000001,0.007019021774198,7290.01164941113,476.9871161405025,36.27095761586612,2.493883345437312,0.9073,0.1295657705140091,0.5431346157897831,0.0232883018242844
11,0.8,8000,greedy_sla_ewma,0.8983000000000001,0.005888784066153,7581.092492006855,12.788641020677712,37.79042526475583,0.0683643354292454,1.0,0.0,0.5354338494189806,0.0064215142350459
12,0.8,8000,greedy_sla_stale,0.8990499999999999,0.0059602852280742,7576.216426083379,12.850712929703874,37.764777157998346,0.0686832966825864,1.0,0.0,0.5363825203922115,0.0064855916517862
13,0.8,8000,linucb_online,0.8990499999999999,0.0059602852280742,7576.216426083379,12.850712929703874,37.764777157998346,0.0686832966825864,1.0,0.0,0.5363825203922115,0.0064855916517862
14,0.8,8000,q_online,0.89765,0.009034040562721,6642.329343448108,283.99394805846424,32.88889337666408,1.4760568513843866,0.6904,0.0703454965785933,0.5821520623205281,0.0217450599523006
