scenario,treatment,baseline,metric,n_pairs,treatment_mean,baseline_mean,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,paired_cohens_d
nominal,q_learning_empirical,greedy_sla,joint_sla_rate,10,0.8869,0.7316999999999998,0.15520000000000003,0.1459,0.16330000000000003,0.001953125,10.386235379112025
nominal,q_learning_empirical,greedy_sla,quality_sla_rate,10,0.8921000000000001,0.7329000000000001,0.1592,0.15120000000000003,0.16660000000000003,0.001953125,11.86753261853378
nominal,q_learning_empirical,greedy_sla,mean_total_latency_ms,10,4715.437656032585,3822.524155591759,892.913500440826,684.2348679287604,1131.818587487077,0.001953125,2.336025822063608
nominal,q_learning_empirical,greedy_sla,mean_infer_energy_j,10,21.145005379062944,16.551440844275508,4.593564534787438,3.504004426219614,5.823670423214293,0.001953125,2.2847347639675504
nominal,q_learning_empirical,greedy_sla,mean_rl_reward,10,0.6628056183089408,0.5482586434495399,0.1145469748594008,0.1020323323501063,0.1270688729967287,0.001953125,5.292483960933062
nominal,q_learning_empirical,dynamic_budget_q8,joint_sla_rate,10,0.8869,0.8877,-0.0008000000000000007,-0.01040000000000001,0.008400000000000008,1.0,-0.049788673742651154
nominal,q_learning_empirical,dynamic_budget_q8,quality_sla_rate,10,0.8921000000000001,0.8938,-0.0017000000000000014,-0.01200000000000001,0.008200000000000008,0.76953125,-0.09880863843316244
nominal,q_learning_empirical,dynamic_budget_q8,mean_total_latency_ms,10,4715.437656032585,6980.257772734212,-2264.8201167016277,-2478.6152852435475,-2023.8175844315917,0.001953125,-5.822082098635097
nominal,q_learning_empirical,dynamic_budget_q8,mean_infer_energy_j,10,21.145005379062944,33.0579272374463,-11.91292185838336,-13.031255551368128,-10.647732791237656,0.001953125,-5.822119385413552
nominal,q_learning_empirical,dynamic_budget_q8,mean_rl_reward,10,0.6628056183089408,0.5568654146220394,0.10594020368690134,0.0937767560053711,0.11919810179896925,0.001953125,4.938723564680465
nominal,q_learning_empirical,static_q4,joint_sla_rate,10,0.8869,0.5347000000000001,0.35219999999999996,0.3415,0.3622025,0.001953125,20.069905611922216
nominal,q_learning_empirical,static_q4,quality_sla_rate,10,0.8921000000000001,0.7382000000000001,0.15390000000000004,0.1446,0.16360000000000002,0.001953125,9.604379193962247
nominal,q_learning_empirical,static_q4,mean_total_latency_ms,10,4715.437656032585,8742.81425903077,-4027.376602998186,-4281.638629021784,-3729.2438571580615,0.001953125,-8.563298908830035
nominal,q_learning_empirical,static_q4,mean_infer_energy_j,10,21.145005379062944,42.5945363617782,-21.44953098271525,-22.776259326703087,-19.921535295901666,0.001953125,-8.65971565890359
nominal,q_learning_empirical,static_q4,mean_rl_reward,10,0.6628056183089408,0.11585466700669925,0.5469509513022416,0.527034158023012,0.5645169096137697,0.001953125,17.192353869369704
nominal,q_learning_empirical,static_q8,joint_sla_rate,10,0.8869,0.36080000000000007,0.5261000000000001,0.5156000000000001,0.5355000000000001,0.001953125,30.070222180853264
nominal,q_learning_empirical,static_q8,quality_sla_rate,10,0.8921000000000001,0.8963000000000001,-0.004200000000000004,-0.01050000000000001,0.002200000000000002,0.322265625,-0.3945986832614862
nominal,q_learning_empirical,static_q8,mean_total_latency_ms,10,4715.437656032585,11132.815322766637,-6417.377666734052,-6682.632609426642,-6094.113684521134,0.001953125,-12.828339906300563
nominal,q_learning_empirical,static_q8,mean_infer_energy_j,10,21.145005379062944,54.90037995061685,-33.7553745715539,-35.18734923980839,-32.095165676674675,0.001953125,-12.828424678706712
nominal,q_learning_empirical,static_q8,mean_rl_reward,10,0.6628056183089408,-0.15779680614319563,0.8206024244521364,0.7986195643969636,0.8372405680486367,0.001953125,24.332049590904944
