device,framework,model,dtype,prompt_id,run_label,batch_size,input_tokens,max_new_tokens,model_load_ms,wall_ms_batch,wall_ms_per_request,output_tokens_batch,output_tokens_per_request,tokens_per_sec_per_request,peak_torch_memory_mb,gpu_mem_used_mb_avg,gpu_mem_used_mb_max,gpu_mem_total_mb_avg,gpu_mem_total_mb_max,power_w_avg,power_w_max,temperature_c_avg,temperature_c_max,gpu_util_pct_avg,gpu_util_pct_max,nvidia_samples
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,cold_after_load,1,128,64,1698.7110000009125,3859.752299998945,3859.752299998945,64,64,16.581374923986054,1469.7587890625,3420.0,3420.0,8151.0,8151.0,46.43933333333334,47.45,48.733333333333334,49.0,30.066666666666666,33.0,15
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,warm1,1,128,64,1698.7110000009125,3889.2267999999603,3889.2267999999603,64,64,16.455712996732576,1469.7587890625,3420.0,3420.0,8151.0,8151.0,47.10933333333333,47.71,48.733333333333334,49.0,30.2,32.0,15
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,cold_after_load,1,128,128,1698.7110000009125,7647.700499999701,7647.700499999701,128,128,16.73705710625109,1478.279296875,3422.266666666667,3428.0,8151.0,8151.0,47.02466666666667,47.78,48.93333333333333,49.0,29.9,33.0,30
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,warm1,1,128,128,1698.7110000009125,7960.685899999589,7960.685899999589,128,128,16.079016507862296,1478.279296875,3428.0,3428.0,8151.0,8151.0,46.90451612903226,47.93,49.225806451612904,51.0,29.419354838709676,34.0,31
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,cold_after_load,1,128,128,1698.7110000009125,7732.633199999327,7732.633199999327,128,128,16.553222775394435,1478.279296875,3428.0,3428.0,8151.0,8151.0,46.956,47.99,49.6,51.0,29.166666666666668,34.0,30
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,warm1,1,128,128,1698.7110000009125,7638.216999999713,7638.216999999713,128,128,16.757837594821513,1478.279296875,3428.0,3428.0,8151.0,8151.0,47.306333333333335,48.19,49.5,51.0,30.366666666666667,35.0,30
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,cold_after_load,1,128,128,1698.7110000009125,8879.575700000714,8879.575700000714,128,128,14.415103190120863,1478.279296875,3437.676470588235,3455.0,8151.0,8151.0,43.917058823529416,48.06,48.85294117647059,50.0,24.61764705882353,33.0,34
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,warm1,1,128,128,1698.7110000009125,7702.442300000257,7702.442300000257,128,128,16.618105662407327,1478.279296875,3427.5333333333333,3431.0,8151.0,8151.0,39.28333333333333,40.26,48.36666666666667,49.0,22.1,24.0,30
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,cold_after_load,1,128,128,1698.7110000009125,6889.200699999492,6889.200699999492,128,128,18.579804185412893,1478.279296875,3426.0,3426.0,8151.0,8151.0,39.64740740740741,40.6,48.0,48.0,22.14814814814815,26.0,27
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,warm1,1,128,128,1698.7110000009125,7116.528500000641,7116.528500000641,128,128,17.98629767308435,1478.279296875,3426.0,3426.0,8151.0,8151.0,39.66178571428571,40.54,48.214285714285715,49.0,22.392857142857142,25.0,28
