beta_budget,beta_latency,joint_sla_rate,mean_total_latency_ms,mean_infer_energy_j,mean_budget_retention,mean_rl_reward
0.0,0.05,0.993,5112.456959592349,23.40241899677426,0.4515833333333334,0.9654928140720562
0.0,0.15,0.9946666666666667,4481.794998904414,20.07252738207565,0.36966666666666664,0.9226824771026855
0.0,0.3,0.9946666666666667,4241.954995812048,18.809413591852767,0.31670833333333337,0.85903536737557
0.0,0.45,0.9946666666666667,4232.144428957842,18.757470401255624,0.3157916666666667,0.7915314503472572
0.2,0.05,0.9906666666666667,6023.835283045497,28.194023616752872,0.5876250000000001,1.0760002207493757
0.2,0.15,0.9926666666666667,5645.924107531115,26.206116284092833,0.5595833333333333,1.0140579518154933
0.2,0.3,0.9950000000000001,5517.365695736931,25.517874497631393,0.5340833333333334,0.9262298174645719
0.2,0.45,0.9956666666666667,4378.502961915364,19.52628605450286,0.35229166666666667,0.8571167346427461
0.4,0.05,0.9883333333333333,6603.328829262632,31.24949768333998,0.6474166666666666,1.2120400729325178
0.4,0.15,0.9860000000000001,6537.538810682487,30.898403158326218,0.6351666666666667,1.136224855963606
0.4,0.3,0.9933333333333333,6159.470173034607,28.907268891363163,0.6159166666666667,1.0439718459355085
0.4,0.45,0.9956666666666667,5256.784144363105,24.147397388442375,0.5106666666666667,0.949515971316614
0.6,0.05,0.981,6856.3943793157705,32.57783834781304,0.6609583333333333,1.3409643121049697
0.6,0.15,0.9836666666666667,6685.671228668991,31.68278101484375,0.653375,1.269998626786337
0.6,0.3,0.9906666666666667,6390.344002282699,30.124087226832035,0.629,1.1658077351761265
0.6,0.45,0.9943333333333334,6153.438885122806,28.873357298977155,0.6140833333333333,1.0697195699137332
0.8,0.05,0.9646666666666667,6969.4351706394045,33.20428442161005,0.7062499999999999,1.4922811803531084
0.8,0.15,0.972,6853.619771085556,32.59459299846347,0.7071249999999999,1.4288608584177436
0.8,0.3,0.98,6626.9570755769055,31.396110473421402,0.6815000000000001,1.315083887344308
0.8,0.45,0.9906666666666667,6337.09218931357,29.845520486730265,0.6400416666666667,1.2016185111374351
