scenario,seed,requests,mean_total_latency_ms,p95_total_latency_ms,mean_infer_energy_j,quality_sla_rate,latency_sla_rate,joint_sla_rate,mean_budget_retention,switch_rate_per_100,mean_rl_reward,reward_spec
ada_rl_sla_latency_g02,2030.5,1000.0,4261.472482840406,6883.251264448268,18.737744796850823,1.0,0.9942,0.9942,0.310875,0.1,0.7898761701046608,ada_rl_sla_latency_g02
ada_rl_sla_latency_g02_no_quality_gate,2030.5,1000.0,3994.6582950309544,6678.669104830153,17.398282152560803,0.8936,0.9970000000000001,0.8906000000000001,0.31208749999999996,0.27999999999999997,0.8055271009957853,ada_rl_sla_latency_g02_no_quality_gate
ada_rl_sla_latency_g02_no_switch_penalty,2030.5,1000.0,4261.472482840406,6883.251264448268,18.737744796850823,1.0,0.9942,0.9942,0.310875,0.1,0.7899261701046608,ada_rl_sla_latency_g02_no_switch_penalty
balanced_budget_reward,2030.5,1000.0,6329.50236036627,9587.542901612436,29.637405349802048,0.9986,0.9894999999999999,0.9891,0.615625,0.65,1.1349038010737502,balanced_budget_reward
