policy,reward_mean,latency_ms_mean,tokens_s_mean,accuracy_mean,memory_mb_mean
latency_first,0.7553624999999999,5725.6895375,13.276712499999999,0.9375,1575.2224375
memory_first,0.7553624999999999,5725.6895375,13.276712499999999,0.9375,1575.2224375
reward_first,0.7553624999999999,5725.6895375,13.276712499999999,0.9375,1575.2224375
static_q4_if_available,0.7553624999999999,5725.6895375,13.276712499999999,0.9375,1575.2224375
throughput_first,0.7553624999999999,5725.6895375,13.276712499999999,0.9375,1575.2224375
power_first,0.6704875,6574.721225,12.521625,0.9479,1827.3865375
quality_first,0.5987625,6824.4427375,11.8872,0.9583,2082.2716875
static_q8_or_fp16,0.5987625,6824.4427375,11.8872,0.9583,2082.2716875
