index,shift_fraction,shift_step,strategy,joint_sla_rate_mean,joint_sla_rate_std,mean_latency_ms_mean,mean_latency_ms_std,mean_energy_j_mean,mean_energy_j_std,q8_action_rate_mean,q8_action_rate_std,reward_mean,reward_std
0,0.2,2000,adaptive_linucb,0.8946,0.003189501005904634,7496.676534443535,154.24687304897,37.356056548932415,0.8092089298450392,0.9770749999999999,0.038369330924001764,0.5355844892500976,0.00755988576186388
1,0.2,2000,greedy_sla_ewma,0.89585,0.003124611086910574,7577.99167028947,8.173892412723442,37.78121194875946,0.0429489603870488,1.0,0.0,0.5328059556281309,0.0034527365351279165
2,0.2,2000,greedy_sla_stale,0.8961124999999999,0.0031032297243714286,7576.589570923868,8.19619113856181,37.773836906096406,0.04309399925880572,1.0,0.0,0.5331261457322587,0.0034302886039386106
3,0.2,2000,linucb_online,0.8961124999999999,0.0031032297243714286,7576.589570923868,8.19619113856181,37.773836906096406,0.04309399925880572,1.0,0.0,0.5331261457322587,0.0034302886039386106
4,0.2,2000,q_online,0.9057499999999999,0.004508094571619649,6566.393660815322,103.43625877818631,32.4988920949963,0.5420077840347702,0.6724249999999999,0.02365149161375569,0.594306520929759,0.008785190901776034
5,0.5,5000,adaptive_linucb,0.89502,0.006494065667121656,7453.1537674025,234.84189819150689,37.12782096817675,1.2306424389977533,0.9646399999999999,0.05866619696781672,0.538204538996532,0.010795994109557215
6,0.5,5000,greedy_sla_ewma,0.8977,0.004628654712164681,7576.77607722751,8.280919763538034,37.77411578179773,0.043723357436035004,1.0,0.0,0.5347715500742828,0.00504069205485202
7,0.5,5000,greedy_sla_stale,0.8981199999999999,0.004618032288997389,7574.615261150682,8.389926277356963,37.762749889233625,0.04429544439632138,1.0,0.0,0.5352792531228794,0.0050321922381917576
8,0.5,5000,linucb_online,0.8981199999999999,0.004618032288997389,7574.615261150682,8.389926277356963,37.762749889233625,0.04429544439632138,1.0,0.0,0.5352792531228794,0.0050321922381917576
9,0.5,5000,q_online,0.9053000000000001,0.00492183344338715,6610.4377940316235,100.05226159640782,32.72780231001009,0.524320619471032,0.68848,0.029982543069074174,0.5915194191114843,0.008663468936702206
10,0.8,8000,adaptive_linucb,0.8916000000000001,0.0070190217741980775,7290.01164941113,476.98711614050245,36.27095761586612,2.493883345437312,0.9073,0.12956577051400917,0.5431346157897831,0.023288301824284433
11,0.8,8000,greedy_sla_ewma,0.8983000000000001,0.005888784066153038,7581.092492006855,12.788641020677712,37.790425264755825,0.0683643354292454,1.0,0.0,0.5354338494189806,0.006421514235045951
12,0.8,8000,greedy_sla_stale,0.8990499999999999,0.0059602852280742505,7576.216426083379,12.850712929703874,37.764777157998346,0.0686832966825864,1.0,0.0,0.5363825203922115,0.0064855916517862315
13,0.8,8000,linucb_online,0.8990499999999999,0.0059602852280742505,7576.216426083379,12.850712929703874,37.764777157998346,0.0686832966825864,1.0,0.0,0.5363825203922115,0.0064855916517862315
14,0.8,8000,q_online,0.89765,0.009034040562721024,6642.3293434481075,283.99394805846424,32.88889337666408,1.4760568513843866,0.6904,0.07034549657859336,0.5821520623205281,0.021745059952300652
