seed,strategy,phase,requests,joint_sla_rate,mean_latency_ms,mean_energy_j,q8_action_rate,reward,shift_fraction,shift_step
2026,q_online,post_shift,8000,0.906375,6586.818730975959,32.60658580108373,0.69075,0.5935603559189869,0.2,2000
2026,adaptive_linucb,post_shift,8000,0.893375,7585.176697505305,37.82239199367241,0.9995,0.5300363831073821,0.2,2000
2026,linucb_online,post_shift,8000,0.894375,7574.327230072765,37.76509904498085,1.0,0.5314468003986422,0.2,2000
2026,greedy_sla_ewma,post_shift,8000,0.894,7576.2867157311575,37.775405939544,1.0,0.5309983196864525,0.2,2000
2026,greedy_sla_stale,post_shift,8000,0.894375,7574.327230072765,37.76509904498085,1.0,0.5314468003986422,0.2,2000
2026,q_online,post_shift,5000,0.9036,6655.260903720102,32.97133499392373,0.6948,0.5878553665082966,0.5,5000
2026,adaptive_linucb,post_shift,5000,0.8958,7594.230865709547,37.87472015093682,0.9992,0.5322237334568525,0.5,5000
2026,linucb_online,post_shift,5000,0.8972,7577.6845787111415,37.787320652530845,1.0,0.5342560296643863,0.5,5000
2026,greedy_sla_ewma,post_shift,5000,0.8968,7579.798981296181,37.79844241012815,1.0,0.5337767395674473,0.5,5000
2026,greedy_sla_stale,post_shift,5000,0.8972,7577.6845787111415,37.787320652530845,1.0,0.5342560296643863,0.5,5000
2026,q_online,post_shift,2000,0.9115,6309.441418498129,31.16666838090658,0.6175,0.6127077865097794,0.8,8000
2026,adaptive_linucb,post_shift,2000,0.8835,7646.8187524216455,38.1587105632581,0.998,0.5177924282797505,0.8,8000
2026,linucb_online,post_shift,2000,0.8875,7602.274426306857,37.92350093483331,1.0,0.5235197589958009,0.8,8000
2026,greedy_sla_ewma,post_shift,2000,0.887,7607.051209708987,37.948626815528506,1.0,0.5228406296182211,0.8,8000
2026,greedy_sla_stale,post_shift,2000,0.8875,7602.274426306857,37.92350093483331,1.0,0.5235197589958009,0.8,8000
2027,q_online,post_shift,8000,0.905625,6608.884812144218,32.72615554199633,0.673375,0.5923731499687108,0.2,2000
2027,adaptive_linucb,post_shift,8000,0.895875,7587.336531262941,37.83306879653153,0.9995,0.532512580577523,0.2,2000
2027,linucb_online,post_shift,8000,0.89675,7576.979319087999,37.7783591198574,1.0,0.5337782377433524,0.2,2000
2027,greedy_sla_ewma,post_shift,8000,0.8965,7578.035179244781,37.78391294428207,1.0,0.5334886429874731,0.2,2000
2027,greedy_sla_stale,post_shift,8000,0.89675,7576.979319087999,37.7783591198574,1.0,0.5337782377433524,0.2,2000
2027,q_online,post_shift,5000,0.9074,6451.798644170306,31.898092551982828,0.6356,0.6012010090504699,0.5,5000
2027,adaptive_linucb,post_shift,5000,0.8806,7296.885989503351,36.30769876498761,0.9216,0.5310995823690827,0.5,5000
2027,linucb_online,post_shift,5000,0.8894,7588.175347085118,37.8314057641407,1.0,0.5258250710208832,0.5,5000
2027,greedy_sla_ewma,post_shift,5000,0.889,7590.1002436261,37.84153071994626,1.0,0.5253417631644405,0.5,5000
2027,greedy_sla_stale,post_shift,5000,0.8894,7588.175347085118,37.8314057641407,1.0,0.5258250710208832,0.5,5000
2027,q_online,post_shift,2000,0.886,6977.293321686205,34.63048145505589,0.78,0.5532229818499244,0.8,8000
2027,adaptive_linucb,post_shift,2000,0.8965,7628.172179919086,38.02845909004889,0.998,0.5319000733107078,0.8,8000
2027,linucb_online,post_shift,2000,0.9005,7586.460172864126,37.80814940092426,1.0,0.5374648434593997,0.8,8000
