index,adaptive_window,adaptive_threshold,strategy,joint_sla_rate_mean,joint_sla_rate_std,mean_latency_ms_mean,mean_latency_ms_std,mean_energy_j_mean,mean_energy_j_std,q8_action_rate_mean,q8_action_rate_std,reward_mean,reward_std
0,20,0.6,adaptive_linucb,0.8902000000000001,0.00956149686096391,7432.392249761193,388.59110914741376,37.010244167421845,2.034261836185509,0.95368,0.09691156105783595,0.5337948989605529,0.016085278744935334
1,20,0.68,adaptive_linucb,0.89096,0.008123928989240465,7523.670068360683,231.1667695035541,37.48799374591838,1.2113811435926853,0.97652,0.0569035206877981,0.5301526903889238,0.012441293104414601
2,20,0.75,adaptive_linucb,0.89032,0.007887655615651006,7503.333517297664,353.72237596326556,37.38159886236393,1.8561666859219486,0.97104,0.08651991678220687,0.5304879508970967,0.017121952501111027
3,40,0.6,adaptive_linucb,0.89072,0.008746910565705136,7552.633151690151,190.4495997736682,37.63966218124712,0.9955349631313438,0.98308,0.047886551115921654,0.5285145175247189,0.010835389223994811
4,40,0.68,adaptive_linucb,0.89092,0.008217163609042791,7561.042311591735,171.5467250312736,37.683613022343465,0.8853262319305426,0.98552,0.0407301362629687,0.5283008668944984,0.011625247301375636
5,40,0.75,adaptive_linucb,0.89072,0.007735172195167197,7470.659808747329,304.4406676300838,37.21055494711324,1.5933778042183127,0.9631599999999999,0.07401175882550315,0.532478839494208,0.01726249700344004
6,60,0.6,adaptive_linucb,0.88948,0.008256014642536554,7525.895910119335,216.58973273619375,37.500033062418204,1.1388105610906474,0.9751199999999999,0.05201668108512027,0.5285247873858299,0.01343647435815441
7,60,0.68,adaptive_linucb,0.89176,0.008161045684632986,7607.793223475799,26.651708042342694,37.92833727354043,0.13874798618148268,0.99716,0.003396468754456574,0.5269064712320054,0.009370546477974775
8,60,0.75,adaptive_linucb,0.88848,0.009662389858506948,7309.444906203479,379.6278759754313,36.3677114360297,1.9841232244797873,0.91892,0.09597296841645912,0.5379942186333849,0.015454734181896263
