scenario,treatment,baseline,metric,n_pairs,treatment_mean,baseline_mean,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,paired_cohens_d
post_shift,q_online,greedy_sla_stale,joint_sla_rate,10,0.9051200000000001,0.89666,0.008460000000000023,0.003840000000000032,0.012400000000000012,0.013671875,1.155447347087041
post_shift,q_online,greedy_sla_stale,mean_latency_ms,10,6606.283121081823,7577.37808378545,-971.0949627036271,-1059.8671858072748,-875.7040270173683,0.001953125,-6.192369807438918
post_shift,q_online,greedy_sla_stale,mean_energy_j,10,32.705450327908196,37.77663859025587,-5.071188262347684,-5.543211047519848,-4.584478474750879,0.001953125,-6.174593244027361
post_shift,q_online,greedy_sla_stale,q8_action_rate,10,0.68706,1.0,-0.31294,-0.3334,-0.29113950000000005,0.001953125,-8.63314823565905
post_shift,q_online,greedy_sla_stale,reward,10,0.5917129139096942,0.5336918680958602,0.058021045813833994,0.04957375350084845,0.06600460891591026,0.001953125,4.136496267107633
post_shift,q_online,greedy_sla_ewma,joint_sla_rate,10,0.9051200000000001,0.8955400000000001,0.009580000000000023,0.004899500000000038,0.013840000000000009,0.009765625,1.257486901664992
post_shift,q_online,greedy_sla_ewma,mean_latency_ms,10,6606.283121081823,7582.208528881088,-975.9254077992648,-1064.78965780048,-882.8308154507977,0.001953125,-6.330526987277502
post_shift,q_online,greedy_sla_ewma,mean_energy_j,10,32.705450327908196,37.80204673145893,-5.096596403550737,-5.546078638608492,-4.614395937024594,0.001953125,-6.312889141062376
post_shift,q_online,greedy_sla_ewma,q8_action_rate,10,0.68706,1.0,-0.31294,-0.33336,-0.29099949999999997,0.001953125,-8.63314823565905
post_shift,q_online,greedy_sla_ewma,reward,10,0.5917129139096942,0.5323607935158552,0.0593521203938389,0.050766831586217406,0.06748711759181407,0.001953125,4.175779727467198
post_shift,q_online,linucb_online,joint_sla_rate,10,0.9051200000000001,0.89588,0.009240000000000016,0.004600000000000026,0.013280000000000024,0.009765625,1.2384086049331904
post_shift,q_online,linucb_online,mean_latency_ms,10,6606.283121081823,7580.855768557405,-974.5726474755829,-1063.7629365032512,-879.2514226350331,0.001953125,-6.107221738761792
post_shift,q_online,linucb_online,mean_energy_j,10,32.705450327908196,37.794931212156364,-5.089480884248172,-5.567167507623784,-4.589455880869792,0.001953125,-6.089612398833859
post_shift,q_online,linucb_online,q8_action_rate,10,0.68706,1.0,-0.31294,-0.33352099999999996,-0.291319,0.001953125,-8.63314823565905
post_shift,q_online,linucb_online,reward,10,0.5917129139096942,0.5327468282023717,0.05896608570732238,0.04982623814226606,0.0673444537292681,0.001953125,4.011571813349511
post_shift,q_online,adaptive_linucb,joint_sla_rate,10,0.9051200000000001,0.89204,0.013080000000000013,0.007800000000000007,0.018380000000000007,0.00390625,1.4481223175944238
post_shift,q_online,adaptive_linucb,mean_latency_ms,10,6606.283121081823,7413.264785774986,-806.981664693163,-967.1305674066956,-636.1652486984756,0.001953125,-2.8286435635119838
post_shift,q_online,adaptive_linucb,mean_energy_j,10,32.705450327908196,36.91853399810995,-4.213083670201761,-5.048756508508138,-3.3232558905079705,0.001953125,-2.821658893735405
post_shift,q_online,adaptive_linucb,q8_action_rate,10,0.68706,0.95344,-0.26637999999999995,-0.30593999999999993,-0.22355650000000002,0.001953125,-3.7922108572529245
post_shift,q_online,adaptive_linucb,reward,10,0.5917129139096942,0.5371476145080741,0.05456529940162007,0.045165542326003186,0.06257488589441618,0.001953125,3.6989092404875485
post_shift,q_online,q_frozen,joint_sla_rate,10,0.9051200000000001,0.8590399999999999,0.046080000000000024,0.03148000000000002,0.06168000000000003,0.001953125,1.7928021940830894
post_shift,q_online,q_frozen,mean_latency_ms,10,6606.283121081823,7777.568008636498,-1171.2848875546763,-1259.585770069585,-1077.3847652805325,0.001953125,-7.468723300833771
post_shift,q_online,q_frozen,mean_energy_j,10,32.705450327908196,38.8296375949724,-6.124187267064203,-6.59142231796976,-5.629495485650807,0.001953125,-7.444517435869515
post_shift,q_online,q_frozen,q8_action_rate,10,0.68706,1.0,-0.31294,-0.33374050000000005,-0.29077949999999997,0.001953125,-8.63314823565905
post_shift,q_online,q_frozen,reward,10,0.5917129139096942,0.4869797529052871,0.10473316100440713,0.08676303004932756,0.1234363735300195,0.001953125,3.3362682579453478
post_shift,q_online,dynamic_budget_q8,joint_sla_rate,10,0.9051200000000001,0.00324,0.90188,0.89772,0.9056799999999999,0.001953125,132.7800936787226
post_shift,q_online,dynamic_budget_q8,mean_latency_ms,10,6606.283121081823,13306.61848806258,-6700.335366980759,-6787.9568233374275,-6606.74849758335,0.001953125,-43.00261024249123
post_shift,q_online,dynamic_budget_q8,mean_energy_j,10,32.705450327908196,67.91244311675358,-35.2069927888454,-35.66290504412509,-34.72555626568216,0.001953125,-43.145709558273474
post_shift,q_online,dynamic_budget_q8,q8_action_rate,10,0.68706,1.0,-0.31294,-0.3330205,-0.29031900000000005,0.001953125,-8.63314823565905
post_shift,q_online,dynamic_budget_q8,reward,10,0.5917129139096942,-0.6251148573172701,1.2168277712269642,1.2083559299496187,1.2245258625089932,0.001953125,89.3267745369692
