seed,strategy,phase,requests,joint_sla_rate,mean_latency_ms,mean_energy_j,q8_action_rate,reward
2026,adaptive_linucb,post_shift,5000,0.886,7051.334821970727,35.00949971716874,0.8632,0.5484769650674167
2026,adaptive_linucb,pre_shift,5000,1.0,3984.297119358656,18.86502713354311,1.0,0.8089446502176493
2026,dynamic_budget_q8,post_shift,5000,0.0034,13315.947901483496,67.94685172712398,1.0,-0.6253778763532521
2026,dynamic_budget_q8,pre_shift,5000,1.0,6829.994102047132,33.83339326248449,1.0,0.6767759677769954
2026,greedy_sla_ewma,post_shift,5000,0.8926,7596.695303930194,37.86358306399362,1.0,0.5287593096069529
2026,greedy_sla_ewma,pre_shift,5000,1.0,3994.461639686637,18.92013767887079,0.984,0.8084204882806874
2026,greedy_sla_stale,post_shift,5000,0.896,7584.074051943502,37.797195278543626,1.0,0.5326974503862808
2026,greedy_sla_stale,pre_shift,5000,1.0,3977.8077646350307,18.832546748381827,0.984,0.8092788663612916
2026,linucb_online,post_shift,5000,0.895,7587.784208324954,37.81671070111006,1.0,0.5315606387569164
2026,linucb_online,pre_shift,5000,1.0,3984.652528593763,18.866896586119772,1.0,0.8088832483088395
2026,oracle_adaptive,post_shift,5000,0.8948,7580.571756720587,37.778773205671094,1.0,0.5316495253138853
2026,oracle_adaptive,pre_shift,5000,1.0,3987.590927400346,18.884006041405062,0.984,0.8087974471854766
2026,q_frozen,post_shift,5000,0.871,7682.261283396762,38.31366011598777,1.0,0.5039073707819891
2026,q_frozen,pre_shift,5000,1.0,4039.3796962709525,19.15641993273367,0.984,0.8068160587439668
2026,q_online,post_shift,5000,0.913,6395.119721093777,31.584413196465828,0.6388,0.6102314097822774
2026,q_online,pre_shift,5000,0.9762,4144.330060879914,19.746784808872224,0.6616,0.7770066569413515
2027,adaptive_linucb,post_shift,5000,0.8916,7605.7112164176715,37.93396636173555,0.9992,0.5274491569378078
2027,adaptive_linucb,pre_shift,5000,1.0,3992.1515758241676,18.92013767887079,0.984,0.808512040971795
