strategy,phase,joint_sla_rate_mean,joint_sla_rate_std,mean_latency_ms_mean,mean_latency_ms_std,mean_energy_j_mean,mean_energy_j_std,q8_action_rate_mean,q8_action_rate_std,reward_mean,reward_std
adaptive_linucb,post_shift,0.89204,0.004434009973426352,7413.264785774986,257.39481679096036,36.91853399810996,1.3540207405203792,0.95344,0.06430688921103243,0.537147614508074,0.008681724461857117
adaptive_linucb,pre_shift,1.0,0.0,3981.8709676643875,6.002877800036809,18.861480287745486,0.031619925996486935,0.9888,0.00772873426463437,0.8090621568439971,0.0002895203415726109
dynamic_budget_q8,post_shift,0.00324,0.0008579044235810885,13306.618488062584,16.51274378937677,67.9124431167536,0.085798599985953,1.0,0.0,-0.6251148573172702,0.0010898553098364504
dynamic_budget_q8,pre_shift,1.0,0.0,6837.073302892871,13.283903159287473,33.87869295235809,0.06694814102967893,1.0,0.0,0.6765266796351372,0.0005020312883946467
greedy_sla_ewma,post_shift,0.8955399999999999,0.0021889622097138834,7582.208528881088,8.390563783068966,37.80204673145893,0.041800408545572564,1.0,0.0,0.5323607935158552,0.002518643342209287
greedy_sla_ewma,pre_shift,1.0,0.0,3981.2544509063773,7.324300906194177,18.858734555393642,0.039393844768329606,0.984,0.0,0.809098366666656,0.0003546106041033206
greedy_sla_stale,post_shift,0.89666,0.0022901722400048567,7577.37808378545,8.09152083134663,37.77663859025588,0.041503197231226,1.0,0.0,0.5336918680958602,0.002581723123588278
greedy_sla_stale,pre_shift,1.0,0.0,3980.8938100424484,7.36424410889431,18.85683892043511,0.036457472596002474,0.984,0.0,0.8091205603799422,0.0003482885660835327
linucb_online,post_shift,0.89588,0.0019758542456365744,7580.855768557407,7.060297318108534,37.794931212156364,0.037507854137432524,1.0,0.0,0.5327468282023717,0.00224032480775376
linucb_online,pre_shift,1.0,0.0,3981.7258950717724,8.336987213727815,18.860722968776965,0.03373230749527617,0.9888,0.00772873426463437,0.8090631539071744,0.00040557436581827743
oracle_adaptive,post_shift,0.8940199999999999,0.002117545749210611,7583.908596985986,8.210492683580307,37.8109890896907,0.043805049718606985,1.0,0.0,0.5307227191580081,0.0023686193120425083
oracle_adaptive,pre_shift,1.0,0.0,3983.3507321829807,8.337522898227542,18.869765153519772,0.03190033872077376,0.984,0.0,0.8089859430436654,0.00040273450243339125
q_frozen,post_shift,0.85904,0.029274304242609944,7777.5680086365,166.94102522104603,38.8296375949724,0.8778916818926227,1.0,0.0,0.486979752905287,0.03754704559344444
q_frozen,pre_shift,1.0,0.0,4073.352999737586,81.24594615087065,19.343174870200144,0.4260461914048442,0.984,0.0,0.8048995451314578,0.0040835385785049656
q_online,post_shift,0.9051199999999999,0.006576185993584917,6606.283121081823,153.46746076143927,32.705450327908196,0.8073344465259483,0.68706,0.036248653614843244,0.5917129139096942,0.013330167380551138
q_online,pre_shift,0.98112,0.002201413687206975,4133.445455528,84.26051896344744,19.69679023420663,0.43975018425327095,0.66742,0.0437744166786441,0.7823387824873952,0.0052826686196851035
