scenario,treatment,baseline,metric,n_pairs,treatment_mean,baseline_mean,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,paired_cohens_d
burst_30,q_learning,dynamic_budget_q8,joint_sla_rate,10,0.9936,0.9912000000000001,0.002400000000000002,0.0005000000000000004,0.004100000000000004,0.07421875,0.7657841336607306
burst_30,q_learning,dynamic_budget_q8,mean_total_latency_ms,10,4320.339556832225,7016.161626516051,-2695.822069683826,-2724.382707456737,-2663.950022651613,0.001953125,-51.3515744771731
burst_30,q_learning,dynamic_budget_q8,mean_infer_energy_j,10,18.731357466554076,32.9031655815774,-14.171808115023325,-14.317980067812897,-14.004442345788643,0.001953125,-51.31792759634958
burst_30,q_learning,dynamic_budget_q8,mean_rl_reward,10,0.7861992127745292,0.6585691168202021,0.12763009595432726,0.12509634728009428,0.12987326245117015,0.001953125,31.386612784642118
burst_30,q_learning,hysteresis_rule,joint_sla_rate,10,0.9936,0.9642,0.029400000000000027,0.026400000000000024,0.03260000000000003,0.001953125,5.508198399657042
burst_30,q_learning,hysteresis_rule,mean_total_latency_ms,10,4320.339556832225,7515.781079903651,-3195.441523071427,-3246.3467616804214,-3135.004599218238,0.001953125,-33.404103358677986
burst_30,q_learning,hysteresis_rule,mean_infer_energy_j,10,18.731357466554076,35.707728661895416,-16.97637119534134,-17.246200365355683,-16.657055160197572,0.001953125,-33.57073327918367
burst_30,q_learning,hysteresis_rule,mean_rl_reward,10,0.7861992127745292,0.6060100902320644,0.18018912254246494,0.17613838063759785,0.1844657978896636,0.001953125,25.398056333142364
burst_30,q_learning,linucb,joint_sla_rate,10,0.9936,0.9929,0.0007000000000000006,-0.0005000000000000004,0.0018000000000000017,0.275390625,0.34951489928176827
burst_30,q_learning,linucb,mean_total_latency_ms,10,4320.339556832225,4330.2943118305275,-9.954754998302452,-28.178205517403917,8.358904695512125,0.375,-0.31809126905390434
burst_30,q_learning,linucb,mean_infer_energy_j,10,18.731357466554076,18.781258978711044,-0.049901512156964145,-0.14200120920184314,0.04667505234068316,0.375,-0.309044237722528
burst_30,q_learning,linucb,mean_rl_reward,10,0.7861992127745292,0.7849860339329076,0.0012131788416216982,-0.0005032936513354558,0.0028072287525297353,0.232421875,0.4245944785018253
burst_30,q_learning,greedy_sla,joint_sla_rate,10,0.9936,0.9931999999999999,0.00040000000000000034,-0.0009000000000000008,0.0016000000000000014,0.7421875,0.18009006755629925
burst_30,q_learning,greedy_sla,mean_total_latency_ms,10,4320.339556832225,4319.023936130156,1.3156207020693729,-8.373204561448516,10.833741365375454,0.6953125,0.07943089613123899
